ParamID,SeedValue,Type,HumanName
param_0,0.0,float,Param 0_Amount
param_1,0.0,float,Param 1_Amount
param_2,9.62964972193618e-35,float,Param 2_Amount
param_3,4.656612873077393e-10,float,Param 3_Amount
param_4,1.8394449775024934e-38,float,Param 4_Amount
param_5,1.862645149230957e-09,float,Param 5_Amount
param_6,5.521697488302474e-39,float,Param 6_Amount
param_7,7.450580596923828e-09,float,Param 7_Amount
param_8,8.828180325246348e-44,float,Param 8_Amount
param_9,2.9802322387695312e-08,float,Param 9_Amount
param_10,1.1402756566482583e-38,float,Param 10_Amount
param_11,1.1920928955078125e-07,float,Param 11_Amount
param_12,0.0,float,Param 12_Amount
param_13,4.76837158203125e-07,float,Param 13_Amount
param_14,4.600602988224807e-41,float,Param 14_Amount
param_15,1.9073486328125e-06,float,Param 15_Amount
param_16,4.600602988224807e-41,float,Param 16_Amount
