ParamID,SeedValue,Type,HumanName
param_0,1.455949104433485e-42,float,Param 0_Amount
param_1,4.007713607968977e-43,float,Param 1_Amount
param_2,1.0,float,Param 2_Amount
param_3,0.0,float,Param 3_Amount
param_4,2.96875,float,Param_4
param_5,0.0,float,Param 5_Amount
param_6,0.0,float,Param 6_Amount
param_7,0.0,float,Param 7_Amount
param_8,3.390625,float,Param_8
param_9,0.0,float,Param 9_Amount
param_10,2.8125,float,Param_10
param_11,0.0,float,Param 11_Amount
param_12,0.0,float,Param 12_Amount
param_13,0.0,float,Param 13_Amount
param_14,1.75,float,Param_14
param_15,0.0,float,Param 15_Amount
param_16,0.0,float,Param 16_Amount
param_17,0.0,float,Param 17_Amount
param_18,0.0,float,Param 18_Amount
param_19,0.0,float,Param 19_Amount
param_20,0.0,float,Param 20_Amount
param_21,0.0,float,Param 21_Amount
param_22,1.875,float,Param_22
param_23,0.0,float,Param 23_Amount
param_24,1.875,float,Param_24
param_25,0.0,float,Param 25_Amount
param_26,0.0,float,Param 26_Amount
